COLUMN01,COLUMN02,COLUMN03,COLUMN04,COLUMN05,COLUMN06,COLUMN07,COLUMN08,COLUMN09,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41,COLUMN42,COLUMN43,COLUMN44,COLUMN45,COLUMN46,COLUMN47,COLUMN48,COLUMN49,COLUMN50,COLUMN51,COLUMN52,COLUMN53,COLUMN54,COLUMN55
12581,000009.SZ,93112000,139600,139700,138000,138400,138500,138600,138700,138800,138900,139000,139100,139200,139300,139400,300,2200,31000,11400,6000,7000,18300,1900,1300,8700,138400,138300,138200,138100,138000,137900,137800,137700,137600,137500,1000,1200,5800,8200,21000,4000,15600,5100,23200,16300,1077700,14993689,1265300,5746960,153600,125600,134800,147700
13079,000009.SZ,93115000,139600,139700,138000,138400,138400,138600,138700,138800,138900,139000,139100,139200,139300,139400,1600,1700,30300,5000,6000,7000,18300,1900,1300,8700,138300,138200,138100,138000,137900,137800,137700,137600,137500,137400,1100,18700,8700,21800,4000,15600,5100,23200,16300,2200,1113900,15494483,1288500,5742060,153600,125600,134800,147700
13573,000009.SZ,93118000,139600,139700,138000,138200,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,3500,3000,300,7300,28700,5000,6000,7000,14800,1400,138200,138100,138000,137900,137800,137700,137600,137500,137400,137300,22700,12000,22100,21500,15700,5100,23200,16600,2200,21000,1116100,15524918,1315400,5749460,153600,125600,134900,147700
14078,000009.SZ,93121000,139600,139700,138000,138200,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,18600,5200,300,12300,28300,5000,6000,7000,14300,1400,138200,138100,138000,137900,137800,137700,137600,137500,137400,137300,9700,15600,22300,21500,20700,5300,23200,16600,2200,21000,1134700,15782013,1321800,5771260,153600,125600,134900,147700
14572,000009.SZ,93124000,139600,139700,138000,138300,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,6500,5300,300,12300,28300,5000,6000,7000,14300,1400,138200,138100,138000,137900,137800,137700,137600,137500,137400,137300,2900,16300,22300,21500,22700,5300,23200,16600,2200,21000,1166800,16225851,1318200,5765360,153600,125600,134900,147700
15058,000009.SZ,93127000,139600,139700,138000,138200,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,1000,10500,500,12300,28300,5000,6000,7000,14300,1400,138200,138100,138000,137900,137800,137700,137600,137500,137400,137300,200,21000,32800,27700,22700,5400,23200,16600,2200,21000,1176000,16353050,1347100,5764260,153600,125600,134900,147700
15572,000009.SZ,93130000,139600,139700,138000,138200,138200,138300,138400,138500,138600,138700,138800,138900,139000,139100,3000,700,9100,500,12300,27800,5000,6000,7000,14300,138100,138000,137900,137800,137700,137600,137500,137400,137300,137200,21500,36800,28300,22700,5700,23200,16600,4200,21000,4400,1184900,16476054,1355200,5766660,153600,125600,134900,147700
16057,000009.SZ,93133000,139600,139700,138000,138200,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,5000,9000,500,12800,27800,5000,6000,7000,14300,1400,138200,138100,138000,137900,137800,137700,137600,137500,137400,137300,7900,22400,38100,28300,22700,5700,23200,16600,4200,21000,1209300,16813261,1375100,5771260,153600,125600,135000,147700
16573,000009.SZ,93136000,139600,139700,138000,138300,138400,138500,138600,138700,138800,138900,139000,139100,139200,139300,9000,500,12800,27800,5000,6000,7100,14300,1400,1300,138300,138200,138100,138000,137900,137800,137700,137600,137500,137400,14300,11100,26100,43700,28300,25700,5700,23200,16600,4200,1217000,16919749,1410000,5763260,153600,125600,135000,147700
17074,000009.SZ,93139000,139600,139700,138000,138300,138500,138600,138700,138800,138900,139000,139100,139200,139300,139400,8400,12800,27800,5000,6000,7100,14300,1400,1300,3700,138300,138200,138100,138000,137900,137800,137700,137600,137500,137400,12900,53800,32100,46100,28300,25700,5700,23200,16900,4200,1230600,17107923,1467700,5766360,153600,125600,135100,147700
17563,000009.SZ,93142000,139600,139700,138000,138500,138500,138600,138700,138800,138900,139000,139100,139200,139300,139400,5500,12800,27800,5000,6000,7100,14300,1400,1300,3700,138300,138200,138100,138000,137900,137800,137700,137600,137500,137400,3300,63200,32100,47000,28300,25700,5700,23200,16900,4200,1253600,17426075,1479100,5770760,153600,125600,135100,147700
